"id","n_census","season","year","season.nb","year.nb","habitat","habitat.code","age.at.capture","nb_af_pride","nb_nm_coal_hr","survival","reproduction","cubs"
"ID372",2,"dry",1985,2,1,"grassland",1,8.75,4,0,1,0,NA
"ID381",2,"dry",1985,2,1,"grassland",1,8.33333333333333,4,0,1,0,NA
"ID399",2,"dry",1985,2,1,"grassland",1,8.08333333333333,4,0,1,0,NA
"ID371",2,"dry",1985,2,1,"grassland",1,8.75,4,0,1,0,NA
"ID429",2,"dry",1985,2,1,"open woodland",2,2.5,10,0,1,0,NA
"ID431",2,"dry",1985,2,1,"open woodland",2,2.5,10,0,1,0,NA
"ID475",2,"dry",1985,2,1,"open woodland",2,6.08333333333333,10,0,1,0,NA
"ID478",2,"dry",1985,2,1,"open woodland",2,5.91666666666667,10,0,1,0,NA
"ID482",2,"dry",1985,2,1,"open woodland",2,12,10,0,1,0,NA
"ID483",2,"dry",1985,2,1,"open woodland",2,12,10,0,0,NA,NA
"ID432",2,"dry",1985,2,1,"open woodland",2,2.33333333333333,10,0,1,0,NA
"ID434",2,"dry",1985,2,1,"open woodland",2,2.33333333333333,10,0,1,0,NA
"ID477",2,"dry",1985,2,1,"open woodland",2,5.91666666666667,10,0,1,0,NA
"ID476",2,"dry",1985,2,1,"open woodland",2,6.08333333333333,10,0,1,0,NA
"ID675",2,"dry",1985,2,1,"grassland",1,5.25,3,0,1,0,NA
"ID649",2,"dry",1985,2,1,"grassland",1,4.16666666666667,3,0,1,NA,0
"ID650",2,"dry",1985,2,1,"grassland",1,4.41666666666667,3,0,1,NA,0
"ID502",2,"dry",1985,2,1,"grassland",1,12.4166666666667,8,0,1,0,NA
"ID496",2,"dry",1985,2,1,"open woodland",2,12.0833333333333,8,0,1,0,NA
"ID505",2,"dry",1985,2,1,"open woodland",2,12.0833333333333,8,0,1,0,NA
"ID580",2,"dry",1985,2,1,"open woodland",2,11.9166666666667,8,0,1,0,NA
"ID648",2,"dry",1985,2,1,"open woodland",2,11.9166666666667,8,0,1,0,NA
"ID655",2,"dry",1985,2,1,"open woodland",2,2.08333333333333,8,0,0,NA,NA
"ID507",2,"dry",1985,2,1,"grassland",1,12.4166666666667,8,0,1,NA,0
"ID499",2,"dry",1985,2,1,"grassland",1,9.41666666666667,2,0,1,0,NA
"ID677",2,"dry",1985,2,1,"grassland",1,12.4166666666667,8,0,0,NA,NA
"ID503",2,"dry",1985,2,1,"grassland",1,8.83333333333333,2,0,1,0,NA
"ID700",2,"dry",1985,2,1,"grassland",1,11.25,3,0,1,NA,0
"ID695",2,"dry",1985,2,1,"grassland",1,2.41666666666667,3,0,1,NA,0
"ID701",2,"dry",1985,2,1,"grassland",1,11.25,3,0,1,NA,0
"ID735",2,"dry",1985,2,1,"open woodland",2,15.4166666666667,2,0,1,0,NA
"ID702",2,"dry",1985,2,1,"open woodland",2,4,2,0,1,NA,2
"ID796",2,"dry",1985,2,1,"grassland",1,11.4166666666667,4,0,1,0,NA
"ID827",2,"dry",1985,2,1,"grassland",1,7.08333333333333,4,0,1,0,NA
"ID869",2,"dry",1985,2,1,"grassland",1,3.16666666666667,4,0,1,0,NA
"ID870",2,"dry",1985,2,1,"grassland",1,3,4,0,1,0,NA
"ID987",2,"dry",1985,2,1,"grassland",1,4.5,3,0,1,NA,1
"ID992",2,"dry",1985,2,1,"grassland",1,4.5,3,0,1,NA,0
"ID981",2,"dry",1985,2,1,"grassland",1,4.5,3,0,1,0,NA
"ID1012",2,"dry",1985,2,1,"grassland",1,2.75,8,0,1,0,NA
"ID1013",2,"dry",1985,2,1,"grassland",1,2.75,8,0,1,0,NA
"ID959",2,"dry",1985,2,1,"grassland",1,10.3333333333333,8,0,1,0,NA
"ID1029",2,"dry",1985,2,1,"grassland",1,15,8,0,0,NA,NA
